Nascimento,Estado sanguíneo,Estado civil,Nacionalidade,Outros nomes,Título(s),Assinatura,Espécie,Gênero,Altura,Peso,Cor do cabelo,Cor dos olhos,Membros da família,Bicho-papão,Varinha,Patrono,Ocupação,Casa,Lealdade,Nome,Cor da pele,Romances,Morte,Cor das penas,Dono (s),Forma animaga,Cor do pelo,Título (s),Familiares
"6 de dezembro de 1928, Floresta do Deão[1]Sudoeste da Inglaterra, Grã-Bretanha",Parte humano (Meio-gigante),Solteiro[2],Inglês[1],"Hagger (por Grope)[3][4], Hagrid (pelo Trio e Professores de Hogwarts)","Professor, Guardião das Chaves e das Terras de Hogwarts",,Meio-Humano/Meio-Gigante,Masculino,"3,50cm[5]",131kg [5],Negros[6],Negros[7],"Sr. Hagrid (pai) †, Fridwulfa (mãe) †, Grope (meio-irmão materno), Pai de Grope (padrasto), Jim Hamilton (possível relação)",Lorde Voldemort[8],"40cm, Carvalho, Núcleo desconhecido",Nenhum[9],"Guardião das Chaves e das Terras de Hogwarts (1968-?), Professor de Trato das Criaturas Mágicas na Escola de Magia e Bruxaria de Hogwarts (1993-1995; 1996-?)", Grifinória[10],"Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória, Ordem da Fênix, Família Hagrid, Alvo Dumbledore, Harry Potter, Força-Tarefa do Estatuto de Sigilo",Rúbeo Hagrid,,,,,,,,,
Anterior a 1966 (provavelmente)[1],,Solteira (provavelmente)[2],Britânica ou irlandesa,,"Madame[3], Bibliotecária[3]",,Humana[3],Feminino[3],,,,,,Lorde Voldemort[6],Desconhecida[7],Não corpóreo[6],"Bibliotecária (desde antes de 1991)[3], Supervisora de estudos[8]",,"Escola de Magia e Bruxaria de Hogwarts[3]Biblioteca de Hogwarts[3], Biblioteca de Hogwarts[3]",Irma Pince,Cor de pergaminho[4],Argo Filch[5],,,,,,,
17 de outubro[1][2] de 1958 ou anteriormente[3],Meio-Duende[4],,Britânico ou irlandês[5][6],,"Professor, Doutor[7], Mestre de Feitiços, Maestro, Diretor de Casa da Corvinal[8], Campeão de Duelos[9] (anteriormente)",,Humana[10](ancestralidade Duende),Masculino[10],,,,,Ancestral duende,Lorde Voldemort[11],"Comprimento, madeira e núcleo desconhecidos",Incorpóreo[11][12],"Mestre de Feitiços em Hogwarts (anterior a 1975-?)[10], Diretor de Casa da Corvinal em Hogwarts (anterior a 1984-?), Condutor do Coro do Sapo em Hogwarts (anterior a 1987-?)", Corvinal[13],"Escola de Magia e Bruxaria de Hogwarts[10]Corvinal[13]Coro do Sapo[14][15][16][17], Corvinal[13], Coro do Sapo[14][15][16][17], Família Flitwick, Ordem da Fênix (durante a Batalha da Torre de Astronomia[13] e a Batalha de Hogwarts)[18], Armada de Dumbledore (durante a Batalha da Torre de Astronomia[13] e a Batalha de Hogwarts)[18]",Filio Flitwick,,,,,,,,,
"31 de julho de 1980[1], Godric's Hollow, Sudoeste da Inglaterra, Grã-Bretanha",Mestiço[2],Casado [3][4],Inglês,"O Menino que Sobreviveu [5][6][7][8], O Eleito[9][7][10][11][12][13][14][15][16][17][3], Senhor da Morte[18], Indesejável Nº1[19][20][21], Cicatriz (Observatório Potter)[22], O Menino que Mentiu (Profeta Diário)[23], Gregório Goyle (sob uso da Poção Polissuco)[24], Neville Longbottom[25], Barny Weasley (sob uso da Poção Polissuco)[26], Válter Dudley[27], Albert Runcorn (sob uso da Poção Polissuco)[19][20], Potinho[28][29][30] (por Pirraça e alunos da Sonserina), Potter Pirado[31][32][33][34] (por Pirraça), Bartholomew Mashingspoon[35], Roonil Wazlib[36], Parry Otter (por Horácio Slughorn)[15]","Campeão Tribruxo, Apanhador, Capitão de Quadribol, Senhor da Morte",,Humana[5],Masculino,,,Negro[37][38],Verdes[38],"Ignoto Peverell[39]  (ancestral paterno) †, Linfred de Stinchcombe[40] (ancestral paterno) †, Tiago Potter[41] (pai) †, Lílian Potter[41] (nascida Evans) (mãe) †, Fleamont Potter[40] (avô paterno) †, Euphemia Potter[40] (avó paterna) †, Sr. Evans[41] (avô materno) †, Sra. Evans[41] (avó materna) †, Petúnia Dursley[41] (nascida Evans) (tia) †, Válter Dursley[41] (tio), Duda Dursley[41] (primo), Sra. Dursley[42] (prima), Filho de Duda[42] (primo), Gina Potter[39] (nascida Weasley) (esposa), Tiago Sirius Potter[39] (filho), Alvo Severo Potter[39] (filho), Lílian Luna Potter[39] (filha), Arthur Weasley[39] (sogro), Molly Weasley[39] (nascida Prewett) (sogra), Rony Weasley[39] (cunhado), Hermione Granger[39] (cunhada), Rosa Granger-Weasley[39] (sobrinha), Hugo Granger-Weasley[39] (sobrinho), Fred Weasley[39] (cunhado) †, Jorge Weasley[39] (cunhado), Angelina Weasley[39] (nascida Johnson) (cunhada), Fred Weasley II[43] (sobrinho), Roxanne Weasley[43] (sobrinha), Gui Weasley[39] (cunhado), Fleur Weasley[39] (nascida Delacour) (cunhada), Victoire Weasley[44] (sobrinha), Dominique Weasley[43] (sobrinha), Louis Weasley[43] (sobrinho), Carlinhos Weasley[39] (cunhado), Percy Weasley[39] (cunhado), Audrey Weasley[39] (cunhada), Molly Weasley[43] (sobrinha), Lucy Weasley[43] (sobrinha), Tom Riddle[39] (primo distante) †, Família Potter[41], Família Fleamont[40] (ancestrais paternais)",Dementador[45],"Vinte e oito centímetros, azevinho e pena de cauda de fênix, Vinte e cinco centímetros, videira e fibra de coração de dragão (temporariamente), Vinte e cinco centímetros, espinheiro-negro e pelo de unicórnio (temporariamente), Vinte e cinco centímetros, pilriteiro e pelo de unicórnio (temporariamente), Trinta e oito centímetros, sabugueiro e pelo de testrálio (temporariamente)",Cervo[46],"Chefe da Seção dos Aurores[47] (anteriormente), Palestrante convidado de Defesa Contra as Artes das Trevas[48], Chefe do Departamento de Execução das Leis da Magia[49]", Grifinória[50],"Família Weasley, Alvo Dumbledore, Armada de Dumbledore, Ordem da Fênix, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da GrifinóriaClube do Slugue[10]Clube de Poções[51], Grifinória, Time de Quadribol da Grifinória, Clube do Slugue[10], Clube de Poções[51], Ministério da Magia BritânicoSeção dos AuroresDepartamento de Execução das Leis da Magia, Seção dos Aurores, Departamento de Execução das Leis da Magia, F.A.L.E.",Harry Tiago Potter,Clara,"Cho Chang (ex-namorada), Gina Weasley (esposa)",,,,,,,
Antes de 1991,,,,,,,Coruja-das-neves,Feminino,,,,Âmbar,,,,,,,"Harry Potter, Empório de Corujas, Corujal de Hogwarts",Edwiges,,,27 de julho de 1997Inglaterra,Brancas,Harry Potter,,,,
1984 ou antes,,,,,,,Gato,Feminino,,,,"Saltados como lâmpadas, iguais ao de Filch",,,,,,,"Escola de Magia e Bruxaria de Hogwarts, Argo Filch",Madame Nor-r-ra,,,,,Argo Filch,,,,
31 de Julho de 1965,,,Britânica,,,,,,,,Loiro,Azuis,"Anne Rowling (nascida Volant) (mãe) †, Peter James Rowling (pai), Dianne Rowling (irmã), Roger Moore (cunhado), Neil Murray (marido), Jessica Isabel Arantes (filha), David Gordon Rowling-Murray (filho), Mackenzie Jean Rowling-Murray (filha), Jorge Arantes (ex-marido), Ernest Rowling (avô paterno), Kathleen Rowling (avó paterna) †, Stanley Volant (avô materno), Frieda Volant (avó materna)",,,,"Escritora, Produtora de Cinema",,,Joanne  Rowling,,,,,,,,,
1959,Trouxa,Casada,,,,,Humana,Feminino,,,Loiro (castanhos nos filmes),,"Sr. Evans (pai) †, Sra. Evans (mãe) †, Lílian Potter (nascida Evans) (irmã) †, Válter Dursley (marido), Guida Dursley (cunhada), Sra. Dursley (sogra), Tiago Potter I (cunhado) †, Duda Dursley (filho), Harry Potter (sobrinho), Sra. Dursley (nora), Netos, Gina Potter (nascida Weasley) (niece-in-law), Tiago Potter II (sobrinho-neto), Alvo Potter (sobrinho-neto), Lílian Luna Potter (sobrinha-neta)",,,,,,"Família Evans, Família Dursley",Petúnia Dursley (nascida Evans),Branca,,1997 (38 anos),,,,,,
,Aborto,"Casada, divorciada ou viúva[1]",,,,,Humana,Feminino,,,Grisalhos,,,,,,Revendedora de híbridos entre Gatos e Amassos[2],,"Alvo Dumbledore, Ordem da Fênix",Arabella Dora Figg,,,,,,,,,
Antes de 1990,,,Britânico[2],,,,Duende[2],Masculino[2],,,,Pretos[3],,Lorde Voldemort[4],,,Empregado do Gringotes[2],,Gringotes[2],Grampo,Pálida[3],,"1 de maio de 1998Mansão Malfoy, Wiltshire, Inglaterra[1]",,,,,,
